time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450650000	12.8605	20.9242	5.05513	2.98324	0.622901	radar	4.31409	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6653	20.9423	4.93738	3.01979	0.633402	lidar	2.936	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.3812	21.001	4.99331	3.0378	0.602929	radar	7.36405	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1415	21.0257	4.97942	3.06797	0.603884	lidar	0.535952	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9119	21.0359	4.93591	3.09983	0.605994	radar	1.82287	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.6892	21.0196	4.87308	3.13706	0.615263	lidar	1.21373	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.455	21.0094	4.83721	3.16916	0.614527	radar	1.07805	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2451	20.9911	4.77366	3.20502	0.622992	lidar	1.0241	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9937	20.9696	4.79805	3.23546	0.621164	radar	3.89196	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7928	20.9276	4.72055	3.27518	0.633969	lidar	0.585261	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5211	20.9445	4.53357	3.26557	0.535181	radar	19.3906	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2375	20.9574	4.66162	3.27241	0.50845	lidar	3.53107	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0011	20.9277	4.7102	3.30012	0.51844	radar	1.52294	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82102	20.8748	4.60993	3.33788	0.535327	lidar	2.19837	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59311	20.8633	4.362	3.33174	0.453541	radar	8.75964	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.4175	20.8102	4.28975	3.36393	0.466735	lidar	1.02865	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21922	20.747	4.40063	3.40377	0.506774	radar	4.00171	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91099	20.7302	4.5862	3.39843	0.466943	lidar	3.3567	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.7574	20.6299	4.5212	3.45341	0.51816	radar	11.5391	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.46036	20.5803	4.67728	3.45572	0.487338	lidar	3.70207	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.24125	20.4961	4.74582	3.48965	0.509872	radar	0.612854	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.97793	20.4282	4.82349	3.50172	0.493063	lidar	0.580746	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.77763	20.3228	4.91776	3.54899	0.541811	radar	5.71558	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43008	20.2706	5.14527	3.53443	0.490562	lidar	5.05331	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18188	20.1871	5.05199	3.54025	0.448983	radar	1.64559	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90212	20.107	5.14192	3.54613	0.429312	lidar	0.866708	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67291	20.0137	5.06149	3.55969	0.40845	radar	1.25338	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.41833	19.9223	5.10776	3.5711	0.398282	lidar	0.494316	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.21104	19.8133	5.07744	3.5984	0.409907	radar	3.92078	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.93715	19.7195	5.165	3.60265	0.391241	lidar	1.06345	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.68872	19.5846	5.3724	3.63736	0.43648	radar	4.82851	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51797	19.4474	5.25648	3.67723	0.4589	lidar	2.50925	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34279	19.299	5.13478	3.71329	0.470294	radar	4.26085	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.1227	19.1769	5.14392	3.73152	0.465453	lidar	3.37854	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97823	19.0476	4.78087	3.75489	0.438553	radar	13.553	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.81283	18.9072	4.7338	3.78532	0.449751	lidar	0.619908	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.56645	18.7629	5.00401	3.79899	0.454203	radar	6.33982	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.38713	18.619	4.97602	3.82483	0.459419	lidar	2.51344	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
